key_mlbam,slug
689225,beaubrieske
521230,liamhendriks
686475,tylertolbert
518585,fernandocruz
622110,mattduffy
657612,timhill
680704,nicksandlin
680755,braydonfisher
663542,bryanhudson
663624,ryanmountcastle
544150,albertsuarez
682868,bryanramos
500779,josequintana
676510,nolanhoffman
661388,williamcontreras
595453,chadwallach
682515,loganporter
663527,tylernevin
642546,jonathanhernandez
669912,kirbysnead
694363,jaredshuster
703492,nickmorabito
642201,eliwhite
687606,paxtonschultz
641482,nestorcortes
656876,drewrasmussen
666818,luisfrias
669222,nicksenzel
688138,loganevans
666214,joeywentz
664139,iangibaut
608032,carlosestevez
687570,connorprielipp
663743,nickfortes
670912,johanoviedo
656222,jalenbeeks
518735,yasmanigrandal
681871,elivillalobos
687922,eastonlucas
669270,joelkuhnel
543063,brandoncrawford
663368,blakeperkins
592669,hunterrenfroe
687792,djherz
681869,shawndubin
681546,jamesoutman
689818,davidsandlin
571448,nolanarenado
656814,luisortiz
676710,kuttercrawford
701474,duncandavitt
593974,wandyperalta
686973,louisvarland
656546,jeffhoffman
669358,shanebaz
624133,rangersuarez
681520,antoinekelly
689546,nickdavila
664058,davidfletcher
642216,allanwinans
701519,travisadams
675961,alikawilliams
641401,connorbrogdon
545121,ildemarovargas
803011,samantonacci
688642,zachagnos
608596,tommurphy
688883,peytonpallette
663611,nickmadrigal
605218,carledwards
685314,andrewsaalfrank
663898,brendanrodgers
695380,alexhoppe
669016,brandonmarsh
664123,scotteffross
660710,rodolfoduran
681297,coltoncowser
680869,zackgelof
605347,jorgelopez
669145,brucezimmermann
682144,jayviensandridge
681393,connornorby
656557,tannerhouck
679881,jpmartinez
682634,kevinalcantara
687798,nickrobertson
686294,amoswillingham
592741,chasenshreve
696270,ryanjohnson
678489,jorgebarrosa
592518,mannymachado
691951,samaldegheri
669200,masonmccoy
573262,mikeyastrzemski
702153,brianfitzpatrick
670046,kennyrosenberg
691781,bradyhouse
669384,rayneldelgado
699393,pedroramirez
650402,gleybertorres
592662,robbieray
695681,christianmoore
594835,marcogonzales
660761,josesuarez
669369,brycejohnson
678894,lioverpeguero
657053,toukitoussaint
640470,adbertalzolay
668831,garrettstallings
669387,carmenmlodzinski
676609,josecaballero
676439,hunterfeduccia
678554,curtismead
691277,deyvisondelossantos
670242,mattwallner
683766,christiankoss
670955,edwinuceta
663423,trentthornton
676614,bryansammons
660787,yerrydelossantos
592200,curtcasali
681151,jaydenmurray
680574,mattmclain
669923,georgekirby
701852,drewcavanaugh
607200,erickfedde
613534,austinadams
675659,gregjones
668968,hanscrouse
804668,rafaelflores
541645,avisailgarcia
657376,clarkeschmidt
519141,drewpomeranz
802415,chandlersimpson
621439,byronbuxton
641835,timmayza
669364,xavieredwards
620982,ricardopinto
671277,luisgarcia
687330,kevinkelly
667478,evankravetz
678662,ezequieltovar
656353,tuckerdavidson
665896,josemarte
543238,anthonygose
523260,joekelly
805367,chasemeidroth
621121,lancemccullers
701762,nickkurtz
664068,scottkingery
674072,tommyhenry
667428,grantkoch
656924,ryderryan
656232,brandonbielak
527054,julioteheran
806188,cadegibson
680779,henrydavis
683004,jackleiter
640902,jhonnypereda
675540,xzavioncurry
641427,alanbusenitz
802686,haydenharris
663969,tylerphillips
671289,tylerfreeman
664353,joseurquidy
694297,brandonpfaadt
621057,justingarza
683079,omarmartinez
542882,mattandriese
689149,chaddallas
605540,brandonwoodruff
685326,mccadebrown
680729,garrettmcdaniels
592273,brandondrury
676480,josebarrero
676917,cadecavalli
656412,alexfaedo
701121,loganvanwey
663897,lukewilliams
666134,nolanjones
676684,willvest
663559,baileyfalter
621545,zachremillard
690925,claytonbeeter
681807,davidfry
641771,chadkuhl
681962,vinnycapra
663455,konnorpilkington
672275,patrickbailey
671737,tajbradley
677587,brayanrocchio
669304,josemiranda
592206,nickcastellanos
682227,brandonwilliamson
660730,elvinrodriguez
805811,bryceeldridge
650859,luisrengifo
669701,joshsmith
666150,dominicfletcher
682243,brycemiller
690155,mattpushard
800325,luislara
813349,connellyearly
681810,austinwarren
607074,carlosrodon
622569,pabloreyes
687282,gabrielrincones
670280,davidbednar
676617,rileyobrien
671083,buddykennedy
676356,jonnydeluca
671096,andrewabbott
622379,luiscastillo
664901,dannymendick
664034,tyfrance
663574,tonysantillan
642086,dominicsmith
640448,kylefinnegan
670810,logangillaspie
668676,zachplesac
675660,shanedrohan
680702,joeygerber
686934,alexmcfarlane
670042,lukeraley
628452,raiseliglesias
671106,loganallen
686948,drakebaldwin
669236,jeremiahjackson
545341,randalgrichuk
669911,michaeltoglia
572761,mattcarpenter
680730,mitchellparker
542881,tyleranderson
642028,joshrogers
703615,josecabrera
682842,abneruribe
666207,rileypint
666023,freddyfermin
687312,gabrielhughes
608638,jtchargois
655316,andruwmonasterio
681508,mickeygasper
800050,chasedelauter
605154,johnbrebbia
699911,dugandarnell
687849,zakkent
676702,hunterstratton
682052,jacoblopez
669422,mattsauer
680736,justinwrobleski
641645,luisguillorme
676391,ernieclement
669371,colehenry
668974,maverickhandley
664854,ryanhelsley
695076,rhettlowder
656180,rileyadams
683742,josefranco
660853,enyeldelossantos
677053,andrewnardi
666711,joelpeguero
687093,vaughngrissom
696136,jordanwicks
663687,hoganharris
691019,kyleteel
700669,gordongraceffo
694203,denzerguzman
805347,jimjarvis
630023,yonnychirinos
669357,nolangorman
670766,darrenmccaughan
571578,patrickcorbin
641329,bryanbaker
807799,masatakayoshida
682989,victormederos
571771,enriquehernandez
814005,jakebloss
528748,humbertocastellanos
673548,seiyasuzuki
608723,austinvoth
805300,jakobmarsee
670124,adamoller
695490,edwinarroyo
643265,garrettcooper
573124,taylorrogers
815873,seankeys
506433,yudarvish
660757,oscargonzalez
641743,anthonykay
680769,cjalexander
650644,aaroncivale
666464,jerarencarnacion
674841,andrewalvarez
663978,chrispaddack
666745,jhonybrito
802139,jjwetherholt
702275,jrritchie
686668,brentondoyle
596112,robertstephenson
519008,tjmcfarland
694359,nikokavadas
682790,wikelmangonzalez
676263,jackdreyer
571760,andrewheaney
543475,jordanlyles
686796,blakewalston
693645,camschlittler
682825,luismey
664294,daurimoreta
687888,brandonwalter
605400,aaronnola
678024,mikevasil
682119,levijordan
814439,ryanwaldschmidt
683679,jesusrodriguez
806198,cooperpratt
694514,sterlinthompson
669326,bryceteodosio
605346,jacklopez
623474,jimmyherget
686580,justinslaten
650490,yandydiaz
453286,maxscherzer
686249,nathanwiles
664238,dylanmoore
691946,georgeklassen
682928,cjabrams
683618,edgardohenriquez
690987,roberthassell
571970,maxmuncy
668909,gavinwilliams
693821,bryceelder
663992,richardlovelady
685068,carsonragsdale
808970,woosukgo
667670,brentrooker
668868,zackthompson
691587,euryperez
689296,anthonynunez
676571,pjpoulin
679885,justinmartinez
672359,tirsoornelas
467793,carlossantana
683068,zachpenrod
608678,dominicleone
642851,austinwynns
800048,parkermessick
641857,ryanmcmahon
695600,carterjensen
669208,ryanbliss
686452,drewmillas
570632,joseurena
660604,alanrangel
677950,alekthomas
621563,joeywendle
608648,tylerduffey
571946,shelbymiller
685299,tannergordon
702566,owenmurphy
686701,ryanbergert
592426,lukejackson
687134,bradleyblalock
643393,tonykemp
657585,reedgarrett
671212,joeboyle
686751,sethjohnson
664702,mylesstraw
689172,brettwisely
689017,landonknack
657756,connorseabold
691011,drewromo
592696,eddierosario
570482,giourshela
694819,jacobmisiorowski
670541,yordanalvarez
669372,jtginn
687145,evanjustice
502671,paulgoldschmidt
668804,bryanreynolds
694384,nolanschanuel
668984,caseylegumina
668845,aaronschunk
814305,yuniortur
663886,tylerstephenson
664351,luiscontreras
804606,konnorgriffin
692030,josecorniell
694371,tommytroy
596133,lukeweaver
666158,gavinlux
673237,yainerdiaz
678394,brayanbello
663558,jovanimoran
665161,jeremypena
694497,evancarter
670223,mattmervis
663432,tannerrainey
681402,gusvarland
678821,luisperalta
642180,tylerwade
691799,granttaylor
621458,edwinrios
502054,tommypham
518792,jasonheyward
676534,calvinfaucher
642759,julianfernandez
502179,paoloespino
667472,danemyers
676282,joeycantillo
656976,pavinsmith
621311,daviddahl
607192,tylerglasnow
596271,caseylawrence
671155,ivanjohnson
678061,raykerr
676760,ronmarinaccio
656986,bennettsousa
699151,jedixsonpaez
675848,juanmejia
676694,jakemeyers
811965,joshuakurodagrauer
682988,tylerlocklear
660766,juanyepez
805373,nachoalvarez
672761,wenceelperez
669722,logandavidson
672580,maikelgarcia
622554,seranthonydominguez
801139,paytontolle
642547,freddyperalta
806068,coltemerson
702021,willdion
670329,ricogarcia
678606,joseferrer
695418,bradlord
810938,benwilliamson
663773,bryanhoeing
669212,elimorgan
668472,nickpratto
623149,paulsewald
672860,prelanderberroa
682657,angelmartinez
682626,franciscoalvarez
686752,ryanpepiot
676879,aaronashby
663567,peterlambert
605483,blakesnell
608369,coreyseager
656883,jaksonreetz
542585,josecisnero
657044,ryanthompson
699008,antwonekelly
694753,khristiancurtis
804267,zacthornton
691907,tsungchecheng
702222,justincrawford
624512,reesemcguire
662139,daultonvarsho
676568,rickyvanasco
806960,luismorales
669060,brysewilson
689147,orionkerkering
685107,anthonyveneziano
664141,jtbrubaker
670102,bowdenfrancis
669720,austinhays
681343,shanesmith
641933,tyleroneill
592885,christianyelich
699013,esmerlynvaldez
687799,cademarlowe
686747,joelasorsa
645444,joseherrera
681432,lukelittle
672282,reiddetmers
681168,luiscurvelo
664126,petefairbanks
802419,tomharrington
678218,brandonvalenzuela
650489,willicastro
690829,benjoyce
666163,benrortvedt
682120,timherrin
669199,lakebachar
643256,adamcimber
621366,ryanborucki
621107,zacheflin
684442,kohldrake
543257,robbiegrossman
676969,brettdegeus
663485,colesands
607179,jordanweems
656811,ryanohearn
607644,johnmeans
641487,jpcrawford
607208,treaturner
683090,matthewlugo
669020,ryanrolison
663372,ryanfeltner
703725,luisgastelum
678545,osleivisbasabe
680474,maxschuemann
664299,cristianjavier
608665,kendallgraveman
666661,juanmorillo
572233,christianwalker
700712,walberturena
669308,seanreynolds
657077,alexverdugo
573009,joemantiply
679156,walterpennington
642215,westonwilson
669724,brenanhanifee
681006,joshsimpson
608717,chrisstratton
677592,eversonpereira
677952,braxtonashcraft
669717,willwilson
664731,pjhiggins
543685,anthonyrendon
681909,justindean
668390,colewinn
572191,michaeltaylor
656257,jeffbrigham
607481,aaronbummer
667755,josesoriano
622761,jorgemateo
691176,jassondominguez
687239,benpeoples
596117,garrettstubbs
665926,andresgimenez
607536,kylefreeland
667463,johnking
675921,spencerhoward
676051,codiheuer
594902,benlively
668930,briceturang
666201,alekmanoah
657136,connorwong
642207,devinwilliams
681066,kybush
643493,austinpruitt
677800,wilyerabreu
700187,troytaylor
694813,gavinstone
699823,tylerdavis
543877,christianvazquez
700413,tyleruberstine
683953,travisbazzana
669699,bradenshewmake
656420,jpfeyereisen
665953,andreschaparro
672391,kalebort
669707,jaredtriolo
541640,erasmoramirez
663158,robertsuarez
663462,isaiahcampbell
668943,ryanmiller
837227,tatsuyaimai
668904,roycelewis
682985,rileygreene
685116,austinkitchen
687231,darellhernaiz
677955,jadenhill
691594,javiersanoja
702352,spencerbivens
676701,alantrejo
518886,craigkimbrel
669360,treicruz
681799,ethanroberts
598264,mattbarnes
683748,victormesa
666374,mattbrash
672642,stewardberroa
688107,robertgasser
666126,carloscortes
691945,carterbaumler
593934,miguelsano
696285,jacobyoung
600917,joseleclerc
519317,giancarlostanton
664314,estevanflorial
663604,brandonlockridge
694397,marcoraya
656731,tylormegill
644433,chadwicktromp
674003,codybradford
624641,edmundososa
578428,joseiglesias
700241,michaelmcgreevy
802408,brycenmautz
666139,joshlowe
687014,nickavila
669193,jacklittle
642016,danielrobert
680837,ryanfitzgerald
656212,charliebarnes
571539,mattcarasiti
700250,benrice
642232,ryanyarbrough
672356,gabrielarias
519151,ryanpressly
681624,andypages
656641,jacoblatz
641313,timanderson
701358,camsmith
689254,masonfluharty
691094,randywynne
682175,joejacques
624424,michaelconforto
671732,lawrencebutler
695731,bradenmontgomery
687749,jasebowen
650559,bryandelacruz
693312,kylenicolas
624415,cavanbiggio
696030,alejandroosuna
650968,yohelpozo
665795,edwardcabrera
666624,christophermorel
677651,luisgarcia
592767,drewsmyly
622786,jesustinoco
667452,coreyjulks
660758,sandrofabian
665645,kervincastro
686555,isaaccollins
694795,joshekness
670103,raymondburgos
650960,danielduarte
680573,simeonwoodsrichardson
672724,oswaldperaza
621466,djstewart
660707,elehurismontero
663321,nickhernandez
693307,dillondingler
668832,kylemccann
687394,jackbrannigan
543510,jamesmccann
681857,reeseolson
489446,kirbyyates
647315,zachpop
678246,miguelvargas
666397,edouardjulien
661395,jhoanduran
680776,jarrenduran
687396,brentheadrick
681252,jackanderson
448179,richhill
680577,dashawnkeirsey
641755,tylerkinley
646240,rafaeldevers
676680,tomcosgrove
692585,yanquielfernandez
659275,dinelsonlamet
676679,luisvazquez
670231,johnrave
703601,maxclark
693686,spencermiles
805427,drewsommers
678391,jorbitvivas
622088,tejayantone
596129,danvogelbach
664192,joeylucchesi
674944,seanguenther
506702,sandyleon
502171,alexcobb
608372,tomoyukisugano
687562,jakebennett
806185,haydenbirdsong
547989,joseabreu
502110,jdmartinez
669289,santiagoespinal
691785,marcelomayer
668716,noahmurdock
687529,grantmccray
670092,trentonbrooks
622491,luiscastillo
640492,joseazocar
687462,spencerhorwitz
647336,michaelsoroka
664875,justinlawrence
669459,kylenelson
680777,ryanjeffers
668338,tysonmiller
646242,jhonathandiaz
669261,jacksuwinski
683357,owencaissie
643410,markleiter
641680,jonahheim
669395,dylancoleman
650671,josequijada
592663,jtrealmuto
690976,alexfreeland
682610,rodderymunoz
691182,adaelamador
694851,andrewhoffmann
680916,francoaleman
694362,blakedunn
595345,stevenokert
534910,jessehahn
607067,colinrea
684974,craigyoho
688497,taylorrashi
666142,coleragans
686654,tyadcock
621199,matthewbowman
701675,nathanchurch
694374,timtawa
673965,calebfreeman
687721,cameronweston
656849,davidpeterson
