batter,pitcher,batTeam,fldTeam,path,outcome,bb
681624,663969,LAD,MIA,012,1B,G
683737,694738,CHC,SFG,0125,K,
682829,700363,CIN,ATL,03,Out,G
663538,806185,CHC,SFG,012,Out,G
518692,645261,LAD,MIA,014,Out,F
502671,669093,NYY,SDP,012555,1B,L
810938,621053,SEA,OAK,0125,K,
673357,670167,CHW,KCR,014788bb,Out,P
669065,656945,MIA,LAD,014,Out,G
661388,669854,MIL,HOU,01478b,K,
669065,623465,MIA,LAD,03,Out,G
685301,664854,PIT,STL,012,K,
608348,702352,CHC,SFG,034,Out,G
677951,681343,KCR,CHW,0347ab,BB,
665839,664208,PIT,STL,0,2B,L
607043,674072,NYM,ARI,0345,K,
676694,606303,HOU,MIL,0125,1B,F
650333,607074,SDP,NYY,03455,Out,L
808982,571510,SFG,CHC,0,Out,G
669707,681517,PIT,STL,03458b,BB,
669127,672841,OAK,SEA,0367,Out,L
671739,682825,ATL,CIN,012,K,
676475,621366,STL,PIT,01225,Out,L
656976,656288,ARI,NYM,03478b,K,
671221,685126,KCR,CHW,01258b,BB,
663647,700669,PIT,STL,0125,Out,G
624413,669194,NYM,ARI,03455,Out,G
643446,657044,NYM,ARI,0147abbbb,K,
669134,596133,SDP,NYY,01478b,BB,
670623,681982,HOU,MIL,012,Out,F
663604,657612,SDP,NYY,0125,Out,F
668804,571945,PIT,STL,01458,HR,F
642715,571510,SFG,CHC,0345,Out,G
686555,672391,MIL,HOU,0,Out,F
680574,700363,CIN,ATL,012588b,BB,
642136,674444,CHW,KCR,0,Out,G
672580,673965,KCR,CHW,01478b,BB,
660821,676263,MIA,LAD,034,Out,G
677594,680880,SEA,OAK,0,Out,P
553993,623211,ARI,NYM,01458,K,
667472,676508,MIA,LAD,0145888,1B,L
683011,673513,NYY,SDP,0369,Out,F
669364,623465,MIA,LAD,01,Out,L
642180,642207,SDP,NYY,0367ab,BB,
672695,621242,ARI,NYM,0369ab,Out,F
663698,664208,PIT,STL,012558,Out,G
678246,663738,CHW,KCR,0367,1B,L
607043,666661,NYM,ARI,034,Out,F
683766,573204,SFG,CHC,012,K,
502054,664854,PIT,STL,012,Out,G
663586,663903,ATL,CIN,034588,Out,F
691016,676092,OAK,SEA,012,HBP,
808975,666277,LAD,MIA,0122,Out,G
678246,666142,CHW,KCR,03678b,K,
677951,592155,KCR,CHW,0,Out,F
683737,702352,CHC,SFG,0347ab,BB,
682663,672782,MIA,LAD,014,HR,F
681460,674444,CHW,KCR,01,1B,L
593871,680880,SEA,OAK,01,Out,G
571970,663969,LAD,MIA,01478b,Out,L
691718,806185,CHC,SFG,012255,1B,G
553993,657585,ARI,NYM,034,1B,F
605141,645261,LAD,MIA,0147a,1B,L
669364,656945,MIA,LAD,0369a,BB,
571448,666214,STL,PIT,0,Out,P
694192,672391,MIL,HOU,03478,Out,P
682829,660853,CIN,ATL,03458,Out,G
677594,622663,SEA,OAK,014,Out,L
701762,663423,OAK,SEA,014788,Out,L
670156,621053,SEA,OAK,03458,Out,F
670623,668964,HOU,MIL,01478,Out,P
691594,623465,MIA,LAD,0147,1B,G
645277,682825,ATL,CIN,01258,K,
680977,666214,STL,PIT,014788,2B,G
667670,682243,OAK,SEA,014788,HBP,
673548,694738,CHC,SFG,01,Out,G
663697,592155,KCR,CHW,034,1B,G
676475,669387,STL,PIT,012,Out,L
669224,663158,NYY,SDP,014,Out,F
643289,657649,HOU,MIL,014,1B,L
657077,605130,ATL,CIN,012258bb,BB,
672820,608032,CHW,KCR,012,Out,L
805779,668984,OAK,SEA,0122,1B,G
642715,668970,SFG,CHC,01,Out,F
676572,676263,MIA,LAD,0345,Out,G
676572,489446,MIA,LAD,0125888,K,
660844,663687,SEA,OAK,0369abb,K,
641487,680880,SEA,OAK,01,1B,L
678391,686701,NYY,SDP,0145,K,
701305,606303,HOU,MIL,01258bb,K,
665839,700669,PIT,STL,0125,Out,G
609280,672841,OAK,SEA,0,Out,G
701762,662253,OAK,SEA,0369ab,BB,
516782,666661,NYM,ARI,0347ab,BB,
672275,573204,SFG,CHC,0,1B,L
514888,681982,HOU,MIL,0125888,Out,F
672820,674444,CHW,KCR,03455,K,
661388,656986,MIL,HOU,034558b,K,
516782,674072,NYM,ARI,0147,Out,G
689041,695243,SEA,OAK,036788b,Out,F
686555,669854,MIL,HOU,036,1B,L
642180,657612,SDP,NYY,01225,Out,G
805367,663738,CHW,KCR,03478b,Out,F
681584,573204,SFG,CHC,012,Out,F
647304,657585,ARI,NYM,0,1B,L
663457,621366,STL,PIT,01458b,BB,
663656,694738,CHC,SFG,01,Out,L
641355,673513,NYY,SDP,0367ab,Out,P
691016,672841,OAK,SEA,034788,K,
663757,601713,NYY,SDP,0147ab,Out,F
676694,683232,HOU,MIL,0,Out,G
700250,669093,NYY,SDP,012,K,
667472,672782,MIA,LAD,0,1B,L
672695,673380,ARI,NYM,01458b,BB,
571448,663767,STL,PIT,01478b,BB,
665742,669194,NYM,ARI,0369,BB,
671218,571510,SFG,CHC,03458b,K,
667670,676092,OAK,SEA,034588,2B,L
624428,664854,PIT,STL,014788,1B,L
665487,607074,SDP,NYY,01258b,K,
641943,608032,CHW,KCR,0,1B,L
701305,683232,HOU,MIL,01225,K,
663457,669387,STL,PIT,0347a,Out,P
656976,657585,ARI,NYM,03458,K,
689041,680880,SEA,OAK,03458,Out,G
664728,592155,KCR,CHW,01255,Out,G
671218,668970,SFG,CHC,01225,K,
647304,623211,ARI,NYM,01478,Out,G
624424,666277,LAD,MIA,01,Out,L
593871,622663,SEA,OAK,034,Out,F
701358,657649,HOU,MIL,01255,K,
683011,663158,NYY,SDP,03458,K,
502054,681517,PIT,STL,034,Out,G
681393,672782,MIA,LAD,012,K,
682663,681911,MIA,LAD,012,K,
663697,681343,KCR,CHW,01255,Out,L
660271,645261,LAD,MIA,03478,K,
606466,656288,ARI,NYM,036,1B,G
686681,685126,KCR,CHW,01455,Out,F
665833,571945,PIT,STL,01458,1B,G
670223,656945,MIA,LAD,0125,K,
700337,670167,CHW,KCR,0145,K,
677950,621242,ARI,NYM,0147,1B,G
521692,673965,KCR,CHW,0345,K,
660844,687765,SEA,OAK,0125,Out,F
687401,672391,MIL,HOU,0125,Out,F
683734,608032,CHW,KCR,014,Out,G
682927,623465,MIA,LAD,0145,1B,G
